sample_date,test_date,wrrf_name,wrrf_abbreviation,Concentration (N1 Copies/L),Per capita load (N1 copies per day per population),annotation,population_served
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,26th Ward,26W,9860.0,6680000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-01T00:00:00.000Z,,26th Ward,,9916.666666666666,6545000.0,,290608.0
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,26th Ward,26W,9973.333333333334,6410000.0,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-03T00:00:00.000Z,,26th Ward,,10030.0,6275000.0,,290608.0
2020-09-04T00:00:00.000Z,,26th Ward,,10086.666666666666,6140000.0,,290608.0
2020-09-05T00:00:00.000Z,,26th Ward,,10143.333333333334,6005000.0,,290608.0
2020-09-06T00:00:00.000Z,2020-09-07T00:00:00.000Z,26th Ward,26W,10200.0,5870000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-07T00:00:00.000Z,,26th Ward,,11400.0,6635000.0,,290608.0
2020-09-08T00:00:00.000Z,2020-09-09T00:00:00.000Z,26th Ward,26W,12600.0,7400000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-09T00:00:00.000Z,,26th Ward,,12700.0,7454285.714285715,,290608.0
2020-09-10T00:00:00.000Z,,26th Ward,,12800.0,7508571.428571428,,290608.0
2020-09-11T00:00:00.000Z,,26th Ward,,12900.0,7562857.142857143,,290608.0
2020-09-12T00:00:00.000Z,,26th Ward,,13000.0,7617142.857142857,,290608.0
2020-09-13T00:00:00.000Z,2020-09-14T00:00:00.000Z,26th Ward,26W,13100.0,7671428.571428572,possible analytical issue,290608.0
2020-09-14T00:00:00.000Z,,26th Ward,,13200.0,7725714.285714285,,290608.0
2020-09-15T00:00:00.000Z,2020-09-16T00:00:00.000Z,26th Ward,26W,13300.0,7780000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-16T00:00:00.000Z,,26th Ward,,12820.0,7564000.0,,290608.0
2020-09-17T00:00:00.000Z,,26th Ward,,12340.0,7348000.0,,290608.0
2020-09-18T00:00:00.000Z,,26th Ward,,11860.0,7132000.0,,290608.0
2020-09-19T00:00:00.000Z,,26th Ward,,11380.0,6916000.0,,290608.0
2020-09-20T00:00:00.000Z,2020-09-21T00:00:00.000Z,26th Ward,26W,10900.0,6700000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-21T00:00:00.000Z,,26th Ward,,16050.0,9400000.0,,290608.0
2020-09-22T00:00:00.000Z,2020-09-23T00:00:00.000Z,26th Ward,26W,21200.0,1.21E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-09-23T00:00:00.000Z,,26th Ward,,26900.0,1.59E7,,290608.0
2020-09-24T00:00:00.000Z,,26th Ward,,32600.0,1.97E7,,290608.0
2020-09-25T00:00:00.000Z,,26th Ward,,38300.0,2.35E7,,290608.0
2020-09-26T00:00:00.000Z,,26th Ward,,44000.0,2.73E7,,290608.0
2020-09-27T00:00:00.000Z,2020-09-30T00:00:00.000Z,26th Ward,26W,49700.0,3.11E7,"original RT-qPCR (9/28/2020) failed, RT-qPCR repeated;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",290608.0
2020-09-28T00:00:00.000Z,,26th Ward,,47466.666666666664,2.9611111111111112E7,,290608.0
2020-09-29T00:00:00.000Z,2020-09-30T00:00:00.000Z,26th Ward,26W,45233.333333333336,2.8122222222222224E7,This result is not useable (because associated with contaminated method blank),290608.0
2020-09-30T00:00:00.000Z,,26th Ward,,43000.0,2.6633333333333332E7,,290608.0
2020-10-01T00:00:00.000Z,,26th Ward,,40766.666666666664,2.5144444444444444E7,,290608.0
2020-10-02T00:00:00.000Z,,26th Ward,,38533.33333333333,2.3655555555555556E7,,290608.0
2020-10-03T00:00:00.000Z,,26th Ward,,36300.0,2.2166666666666664E7,,290608.0
2020-10-04T00:00:00.000Z,2020-10-05T00:00:00.000Z,26th Ward,26W,34066.666666666664,2.0677777777777776E7,This result is not useable (because associated with contaminated method blank),290608.0
2020-10-05T00:00:00.000Z,,26th Ward,,31833.333333333332,1.9188888888888888E7,,290608.0
2020-10-06T00:00:00.000Z,2020-10-07T00:00:00.000Z,26th Ward,26W,29600.0,1.77E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-10-07T00:00:00.000Z,,26th Ward,,26560.0,1.6038E7,,290608.0
2020-10-08T00:00:00.000Z,,26th Ward,,23520.0,1.4376E7,,290608.0
2020-10-09T00:00:00.000Z,,26th Ward,,20480.0,1.2714E7,,290608.0
2020-10-10T00:00:00.000Z,,26th Ward,,17440.0,1.1052E7,,290608.0
2020-10-11T00:00:00.000Z,2020-10-12T00:00:00.000Z,26th Ward,26W,14400.0,9390000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-10-12T00:00:00.000Z,,26th Ward,,24300.0,1.5645E7,,290608.0
2020-10-13T00:00:00.000Z,2020-10-14T00:00:00.000Z,26th Ward,26W,34200.0,2.19E7,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",290608.0
2020-10-14T00:00:00.000Z,,26th Ward,,30340.0,1.9348E7,,290608.0
2020-10-15T00:00:00.000Z,,26th Ward,,26480.0,1.6796E7,,290608.0
2020-10-16T00:00:00.000Z,,26th Ward,,22620.0,1.4244E7,,290608.0
2020-10-17T00:00:00.000Z,,26th Ward,,18760.0,1.1692E7,,290608.0
2020-10-18T00:00:00.000Z,2020-10-19T00:00:00.000Z,26th Ward,26W,14900.0,9140000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);associated method blank contaminated; singal in the sample significantly higher than in the method blank;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-10-19T00:00:00.000Z,,26th Ward,,29700.0,2.572E7,,290608.0
2020-10-20T00:00:00.000Z,2020-10-21T00:00:00.000Z,26th Ward,26W,44500.0,4.23E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-10-21T00:00:00.000Z,,26th Ward,,43980.0,3.886E7,,290608.0
2020-10-22T00:00:00.000Z,,26th Ward,,43460.0,3.542E7,,290608.0
2020-10-23T00:00:00.000Z,,26th Ward,,42940.0,3.198E7,,290608.0
2020-10-24T00:00:00.000Z,,26th Ward,,42420.0,2.854E7,,290608.0
2020-10-25T00:00:00.000Z,2020-10-26T00:00:00.000Z,26th Ward,26W,41900.0,2.51E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-10-26T00:00:00.000Z,,26th Ward,,45350.0,2.655E7,,290608.0
2020-10-27T00:00:00.000Z,2020-10-28T00:00:00.000Z,26th Ward,26W,48800.0,2.8E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-10-28T00:00:00.000Z,,26th Ward,,47020.0,3.0E7,,290608.0
2020-10-29T00:00:00.000Z,,26th Ward,,45240.0,3.2E7,,290608.0
2020-10-30T00:00:00.000Z,,26th Ward,,43460.0,3.4E7,,290608.0
2020-10-31T00:00:00.000Z,,26th Ward,,41680.0,3.6E7,,290608.0
2020-11-01T00:00:00.000Z,2020-11-02T00:00:00.000Z,26th Ward,26W,39900.0,3.8E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-11-02T00:00:00.000Z,,26th Ward,,65750.0,4.825E7,,290608.0
2020-11-03T00:00:00.000Z,2020-11-04T00:00:00.000Z,26th Ward,26W,91600.0,5.85E7,Sample processing method slightly different due to supply chain issues;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-11-04T00:00:00.000Z,,26th Ward,,95680.0,6.046E7,,290608.0
2020-11-05T00:00:00.000Z,,26th Ward,,99760.0,6.242E7,,290608.0
2020-11-06T00:00:00.000Z,,26th Ward,,103840.0,6.438E7,,290608.0
2020-11-07T00:00:00.000Z,,26th Ward,,107920.0,6.634E7,,290608.0
2020-11-08T00:00:00.000Z,2020-11-09T00:00:00.000Z,26th Ward,26W,112000.0,6.83E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-11-09T00:00:00.000Z,,26th Ward,,129500.0,7.635E7,,290608.0
2020-11-10T00:00:00.000Z,2020-11-11T00:00:00.000Z,26th Ward,26W,147000.0,8.44E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608.0
2020-11-11T00:00:00.000Z,,26th Ward,,130080.0,7.924E7,,290608.0
2020-11-12T00:00:00.000Z,,26th Ward,,113160.0,7.408E7,,290608.0
2020-11-13T00:00:00.000Z,,26th Ward,,96240.0,6.892E7,,290608.0
