sample_date,test_date,wrrf_name,wrrf_abbreviation,Concentration (N1 Copies/L),Per capita load (N1 copies per day per population),annotation,population_served
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,26th Ward,26W,9860.0,6680000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Bowery Bay,BB,30500.0,1.12E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Coney Island,CI,7700.0,4270000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),682342
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Hunts Point,HP,23800.0,1.46E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),755948
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Jamaica Bay,JA,16000.0,5910000.0,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Newtown Creek,NC,4990.0,3100000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,North River,NR,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),658596
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Oakwood Beach,OB,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),258731
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Owls Head,OH,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),906442
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Port Richmond,PR,,,"Concentration below Method Limit of Detection;No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",226167
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Red Hook,RH,,,"Concentration below Method Limit of Detection;No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",224029
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Rockaway,RK,9400.0,5320000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),120539
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Tallman Island,TI,14500.0,6330000.0,"Concentration below Method Limit of Quantification (above Method Limit of Detection);No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",449907
2020-08-31T00:00:00.000Z,2020-09-01T00:00:00.000Z,Wards Island,WI,33900.0,1.98E7,This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1201485
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,26th Ward,26W,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),290608
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Bowery Bay,BB,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),924695
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Coney Island,CI,,,analytical issue,682342
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Hunts Point,HP,,,"Concentration below Method Limit of Detection;No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021)",755948
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Jamaica Bay,JA,4610.0,1750000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection);this sample was analyzed in duplicate. The higher of the 2 results is reported;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),748737
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,Newtown Creek,NC,,,Concentration below Method Limit of Detection;This concentration was obtained using a pooled standard curve (pooled from RT-qPCR plates run between 9/11/2020 and 4/14/2021),1156473
2020-09-02T00:00:00.000Z,2020-09-03T00:00:00.000Z,North River,NR,,,analytical issue,658596
